,pub_year,record_count
0,1400,22
1,1401,4
2,1402,4
3,1403,2
4,1405,1
5,1406,1
6,1408,1
7,1410,2
8,1414,1
9,1417,1
10,1418,1
11,1420,2
12,1430,1
13,1431,1
14,1440,1
15,1450,1
16,1451,1
17,1453,1
18,1454,3
19,1455,2
20,1456,1
21,1457,2
22,1460,1
23,1463,1
24,1465,6
25,1467,1
26,1470,13
27,1471,9
28,1472,17
29,1473,17
30,1474,23
31,1475,38
32,1476,26
33,1477,37
34,1478,23
35,1479,13
36,1480,26
37,1481,41
38,1482,29
39,1483,36
40,1484,20
41,1485,40
42,1486,29
43,1487,28
44,1488,34
45,1489,31
46,1490,50
47,1491,31
48,1492,27
49,1493,54
50,1494,37
51,1495,48
52,1496,30
53,1497,46
54,1498,36
55,1499,50
56,1500,64
57,1501,30
58,1502,25
59,1503,25
60,1504,17
61,1505,26
62,1506,18
63,1507,12
64,1508,22
65,1509,25
66,1510,26
67,1511,22
68,1512,23
69,1513,21
70,1514,32
71,1515,25
72,1516,32
73,1517,30
74,1518,38
75,1519,36
76,1520,63
77,1521,54
78,1522,64
79,1523,55
80,1524,41
81,1525,41
82,1526,31
83,1527,39
84,1528,30
85,1529,32
86,1530,41
87,1531,38
88,1532,36
89,1533,54
90,1534,46
91,1535,49
92,1536,58
93,1537,56
94,1538,61
95,1539,59
96,1540,55
97,1541,72
98,1542,70
99,1543,51
100,1544,56
101,1545,67
102,1546,89
103,1547,48
104,1548,77
105,1549,62
106,1550,95
107,1551,98
108,1552,70
109,1553,56
110,1554,61
111,1555,59
112,1556,76
113,1557,69
114,1558,54
115,1559,61
116,1560,63
117,1561,51
118,1562,53
119,1563,49
120,1564,80
121,1565,67
122,1566,77
123,1567,67
124,1568,48
125,1569,50
126,1570,84
127,1571,71
128,1572,97
129,1573,133
130,1574,105
131,1575,88
132,1576,85
133,1577,66
134,1578,83
135,1579,72
136,1580,83
137,1581,87
138,1582,74
139,1583,75
140,1584,86
141,1585,89
142,1586,87
143,1587,74
144,1588,89
145,1589,69
146,1590,89
147,1591,80
148,1592,76
149,1593,71
150,1594,66
151,1595,74
152,1596,65
153,1597,94
154,1598,91
155,1599,92
156,1600,133
157,1601,78
158,1602,72
159,1603,71
160,1604,73
161,1605,105
162,1606,85
163,1607,74
164,1608,74
165,1609,94
166,1610,78
167,1611,82
168,1612,107
169,1613,75
170,1614,68
171,1615,101
172,1616,70
173,1617,81
174,1618,85
175,1619,76
176,1620,85
177,1621,85
178,1622,78
179,1623,84
180,1624,86
181,1625,56
182,1626,60
183,1627,73
184,1628,88
185,1629,78
186,1630,87
187,1631,98
188,1632,83
189,1633,128
190,1634,76
191,1635,92
192,1636,85
193,1637,55
194,1638,86
195,1639,83
196,1640,132
197,1641,148
198,1642,167
199,1643,116
200,1644,176
201,1645,76
202,1646,75
203,1647,102
204,1648,101
205,1649,102
206,1650,105
207,1651,95
208,1652,97
209,1653,91
210,1654,94
211,1655,112
212,1656,107
213,1657,93
214,1658,106
215,1659,104
216,1660,159
217,1661,132
218,1662,114
219,1663,119
220,1664,123
221,1665,100
222,1666,105
223,1667,102
224,1668,114
225,1669,112
226,1670,141
227,1671,129
228,1672,129
229,1673,130
230,1674,110
231,1675,116
232,1676,89
233,1677,133
234,1678,112
235,1679,165
236,1680,187
237,1681,166
238,1682,186
239,1683,135
240,1684,160
241,1685,158
242,1686,134
243,1687,139
244,1688,160
245,1689,225
246,1690,132
247,1691,144
248,1692,159
249,1693,139
250,1694,166
251,1695,135
252,1696,163
253,1697,135
254,1698,140
255,1699,127
256,1700,323
257,1701,149
258,1702,179
259,1703,144
260,1704,119
261,1705,125
262,1706,107
263,1707,123
264,1708,126
265,1709,128
266,1710,160
267,1711,158
268,1712,160
269,1713,154
270,1714,155
271,1715,184
272,1716,196
273,1717,173
274,1718,170
275,1719,170
276,1720,161
277,1721,163
278,1722,159
279,1723,182
280,1724,163
281,1725,178
282,1726,208
283,1727,196
284,1728,175
285,1729,183
286,1730,182
287,1731,187
288,1732,217
289,1733,175
290,1734,173
291,1735,177
292,1736,168
293,1737,196
294,1738,185
295,1739,197
296,1740,240
297,1741,214
298,1742,230
299,1743,203
300,1744,204
301,1745,205
302,1746,180
303,1747,203
304,1748,180
305,1749,203
306,1750,281
307,1751,243
308,1752,216
309,1753,257
310,1754,244
311,1755,234
312,1756,265
313,1757,206
314,1758,249
315,1759,272
316,1760,255
317,1761,225
318,1762,258
319,1763,286
320,1764,307
321,1765,267
322,1766,254
323,1767,300
324,1768,312
325,1769,284
326,1770,360
327,1771,318
328,1772,327
329,1773,337
330,1774,370
331,1775,415
332,1776,396
333,1777,365
334,1778,333
335,1779,298
336,1780,318
337,1781,347
338,1782,311
339,1783,483
340,1784,422
341,1785,462
342,1786,503
343,1787,558
344,1788,617
345,1789,591
346,1790,608
347,1791,660
348,1792,730
349,1793,710
350,1794,861
351,1795,801
352,1796,787
353,1797,729
354,1798,746
355,1799,658
356,1800,2327
357,1801,542
358,1802,617
359,1803,682
360,1804,580
361,1805,619
362,1806,730
363,1807,675
364,1808,703
365,1809,575
366,1810,808
367,1811,653
368,1812,648
369,1813,661
370,1814,666
371,1815,698
372,1816,694
373,1817,698
374,1818,851
375,1819,822
376,1820,990
377,1821,841
378,1822,935
379,1823,872
380,1824,980
381,1825,1009
382,1826,958
383,1827,900
384,1828,1033
385,1829,1000
386,1830,1196
387,1831,956
388,1832,1114
389,1833,1143
390,1834,1127
391,1835,1167
392,1836,1277
393,1837,1154
394,1838,1113
395,1839,1271
396,1840,1343
397,1841,1216
398,1842,1178
399,1843,1238
400,1844,1328
401,1845,1558
402,1846,1493
403,1847,1411
404,1848,1310
405,1849,1250
406,1850,1635
407,1851,1552
408,1852,1676
409,1853,1697
410,1854,1711
411,1855,1703
412,1856,1765
413,1857,1639
414,1858,1649
415,1859,1766
416,1860,2031
417,1861,1529
418,1862,1498
419,1863,1634
420,1864,1974
421,1865,1773
422,1866,2059
423,1867,1978
424,1868,2001
425,1869,1957
426,1870,2159
427,1871,2010
428,1872,2281
429,1873,2241
430,1874,2397
431,1875,2349
432,1876,2450
433,1877,2495
434,1878,2549
435,1879,2586
436,1880,3099
437,1881,2734
438,1882,2933
439,1883,3147
440,1884,3143
441,1885,3154
442,1886,3140
443,1887,3404
444,1888,3606
445,1889,3536
446,1890,3984
447,1891,3734
448,1892,4009
449,1893,4226
450,1894,4203
451,1895,4680
452,1896,4930
453,1897,4972
454,1898,5370
455,1899,5448
456,1900,21656
457,1901,5963
458,1902,6803
459,1903,7044
460,1904,6997
461,1905,6844
462,1906,6907
463,1907,7304
464,1908,7598
465,1909,7964
466,1910,8833
467,1911,9254
468,1912,9873
469,1913,9527
470,1914,9390
471,1915,9004
472,1916,8770
473,1917,8817
474,1918,8484
475,1919,9271
476,1920,10537
477,1921,10015
478,1922,11448
479,1923,12138
480,1924,12992
481,1925,13933
482,1926,14053
483,1927,15389
484,1928,16730
485,1929,16909
486,1930,18304
487,1931,17296
488,1932,16342
489,1933,15878
490,1934,17742
491,1935,18894
492,1936,19361
493,1937,20298
494,1938,20438
495,1939,20734
496,1940,21606
497,1941,20354
498,1942,20073
499,1943,19186
500,1944,18218
501,1945,17295
502,1946,21376
503,1947,21881
504,1948,22482
505,1949,23595
506,1950,26026
507,1951,24102
508,1952,24453
509,1953,25160
510,1954,24888
511,1955,26239
512,1956,26596
513,1957,27673
514,1958,29201
515,1959,31696
516,1960,38965
517,1961,38543
518,1962,45987
519,1963,50090
520,1964,54799
521,1965,60348
522,1966,78186
523,1967,91160
524,1968,104801
525,1969,104406
526,1970,110871
527,1971,106562
528,1972,111261
529,1973,117420
530,1974,126808
531,1975,136581
532,1976,147030
533,1977,155287
534,1978,155417
535,1979,152752
536,1980,156368
537,1981,156830
538,1982,163017
539,1983,166354
540,1984,173706
541,1985,175947
542,1986,164123
543,1987,169443
544,1988,174720
545,1989,178455
546,1990,188509
547,1991,186408
548,1992,187286
549,1993,189855
550,1994,187942
551,1995,179183
552,1996,181424
553,1997,189228
554,1998,196099
555,1999,200691
556,2000,211257
557,2001,205455
558,2002,211827
559,2003,206758
560,2004,210755
561,2005,216953
562,2006,217423
563,2007,216813
564,2008,212026
565,2009,213932
566,2010,209256
567,2011,188630
568,2012,144785
569,2013,72491
570,2014,20040
571,2015,1061
572,2016,11
573,2017,2
574,2018,2
575,2020,2
