subclass,label,status,main_class,year,rank,cumulative
AC,General Collections,RENAMED,A,1480,,0
AE,Encyclopedias (General),RENAMED,A,1480,25.0,9
AG,Dictionaries (General),RENAMED,A,1480,,0
AI,Indexes,ABSENT,A,1480,,0
AM,Museums / Exhibitions,ABSENT,A,1480,,0
AN,Newspapers,ABSENT,A,1480,,0
AS,Academies / Societies,ABSENT,A,1480,,0
B,Philosophy (General),MERGED,B,1480,6.0,137
BC,Logic,MERGED,B,1480,30.0,5
BD,Speculative Philosophy,MERGED,B,1480,,0
BF,Psychology,ABSENT,B,1480,27.0,7
BH,Aesthetics,MERGED,B,1480,,0
BJ,Ethics,MERGED,B,1480,20.0,25
BL,Religion / Mythology,MERGED,B,1480,32.0,4
BM,Judaism,MERGED,B,1480,27.0,7
BP,Islam,MERGED,B,1480,11.0,105
BR,Christianity,MERGED,B,1480,9.0,115
BS,Bible,MERGED,B,1480,10.0,112
BT,Doctrinal Theology,MERGED,B,1480,13.0,72
BV,Practical Theology,MERGED,B,1480,14.0,57
BX,Christian Denominations,MERGED,B,1480,1.0,922
CB,History of Civilization,ABSENT,C,1480,,0
CC,Archaeology,ABSENT,C,1480,,0
CD,Diplomatics / Archives,ABSENT,C,1480,,0
CE,Chronology,ABSENT,C,1480,17.0,32
CJ,Numismatics,ABSENT,C,1480,,0
CN,Inscriptions / Epigraphy,ABSENT,C,1480,,0
CR,Heraldry,ABSENT,C,1480,,0
CS,Genealogy,ABSENT,C,1480,,0
CT,Biography (General),ABSENT,C,1480,,0
D,History (General),MERGED,D,1480,,0
DA,British History,MERGED,D,1480,,0
DAW,Central Europe,ABSENT,D,1480,,0
DB,Austria / Bohemia,ABSENT,D,1480,,0
DC,French History,MERGED,D,1480,,0
DD,German History,MERGED,D,1480,,0
DE,Greco-Roman World,MERGED,D,1480,,0
DF,Greek History,MERGED,D,1480,27.0,7
DG,Italian History / Rome,MERGED,D,1480,,0
DH,Low Countries History,ABSENT,D,1480,,0
DJ,Netherlands,ABSENT,D,1480,,0
DJK,Eastern Europe (General),ABSENT,D,1480,,0
DK,Russia / Former Soviet States,ABSENT,D,1480,,0
DL,Scandinavian History,ABSENT,D,1480,,0
DP,Iberian History,ABSENT,D,1480,,0
DQ,Switzerland,ABSENT,D,1480,,0
DR,Balkan History,ABSENT,D,1480,,0
DS,Asian History,ABSENT,D,1480,23.0,21
DT,African History,ABSENT,D,1480,,0
DU,Oceania,ABSENT,D,1480,,0
DX,Romani People,ABSENT,D,1480,,0
E18,African American History (E185),ABSENT,E,1480,,0
E99,Native Americans (E99),ABSENT,E,1480,,0
G,Geography (General),MERGED,G,1480,32.0,4
GA,Mathematical Geography,MERGED,G,1480,,0
GB,Physical Geography,MERGED,G,1480,,0
GC,Oceanography,ABSENT,G,1480,,0
GE,Environmental Sciences,ABSENT,G,1480,,0
GF,Human Ecology,ABSENT,G,1480,,0
GN,Anthropology,ABSENT,G,1480,,0
GR,Folklore,ABSENT,G,1480,,0
GT,Manners & Customs,ABSENT,G,1480,,0
GV,Recreation / Leisure,ABSENT,G,1480,,0
HA,Statistics,ABSENT,H,1480,,0
HB,Economic Theory,ABSENT,H,1480,,0
HC,Economic History,ABSENT,H,1480,,0
HD,Land / Agriculture Economics,ABSENT,H,1480,,0
HE,Transportation / Communications,ABSENT,H,1480,,0
HF,Commerce,MERGED,H,1480,,0
HG,Finance,ABSENT,H,1480,,0
HJ,Public Finance,MERGED,H,1480,16.0,36
HM,Sociology,ABSENT,H,1480,,0
HN,Social History,ABSENT,H,1480,,0
HQ,Family / Gender / Sexuality,ABSENT,H,1480,,0
HS,Societies / Clubs,ABSENT,H,1480,,0
