subclass,label,jefferson_status,group,first_year,total_2011,inflection_year,asymptote_L,growth_rate_k,growth_width_yrs,peak_annual_rate,sigmoid_r2,nearest_event_yr,nearest_event_dist,nearest_event_desc
AC,General Collections,RENAMED,A,1527,21246,1992.2,35336.7,0.01066,412.3,94.2,0.9695,1975.0,17.200000000000045,Helsinki Accords (Eastern Europe visibility)
AE,Encyclopedias (General),RENAMED,A,1472,1508,2010.6,2953.6,0.03221,136.4,23.8,0.984,1975.0,35.59999999999991,Helsinki Accords (Eastern Europe visibility)
AG,Dictionaries (General),RENAMED,A,1532,2970,2006.9,5218.1,0.03989,110.2,52.0,0.9891,1975.0,31.90000000000009,Helsinki Accords (Eastern Europe visibility)
AI,Indexes,ABSENT,A,1853,247,1980.8,271.4,0.07794,56.4,5.3,0.9903,1975.0,5.7999999999999545,Helsinki Accords (Eastern Europe visibility)
AM,Museums / Exhibitions,ABSENT,A,1678,4538,1995.2,5439.4,0.081,54.2,110.2,0.9986,1975.0,20.200000000000045,Helsinki Accords (Eastern Europe visibility)
AN,Newspapers,ABSENT,A,1999,2,,,,,,,,,
AS,Academies / Societies,ABSENT,A,1687,15217,1972.1,16144.5,0.07683,57.2,310.1,0.9962,1972.0,0.09999999999990905,Title IX
B,Philosophy (General),MERGED,B,1400,111087,2000.9,159277.3,0.05939,74.0,2364.7,0.9965,1975.0,25.90000000000009,Helsinki Accords (Eastern Europe visibility)
BC,Logic,MERGED,B,1476,4386,1992.1,5550.4,0.05925,74.2,82.2,0.9978,1975.0,17.09999999999991,Helsinki Accords (Eastern Europe visibility)
BD,Speculative Philosophy,MERGED,B,1495,17349,2003.5,26444.1,0.0557,78.9,368.2,0.9978,1975.0,28.5,Helsinki Accords (Eastern Europe visibility)
BF,Psychology,ABSENT,B,1474,85825,2002.4,129937.6,0.05296,83.0,1720.4,0.9963,1975.0,27.40000000000009,Helsinki Accords (Eastern Europe visibility)
BH,Aesthetics,MERGED,B,1757,5441,1998.0,7126.7,0.06887,63.8,122.7,0.9971,1975.0,23.0,Helsinki Accords (Eastern Europe visibility)
BJ,Ethics,MERGED,B,1474,24126,2050.0,101639.0,0.03297,133.3,837.8,0.9919,1975.0,75.0,Helsinki Accords (Eastern Europe visibility)
BL,Religion / Mythology,MERGED,B,1477,67934,2002.4,100266.7,0.05958,73.8,1493.5,0.9963,1975.0,27.40000000000009,Helsinki Accords (Eastern Europe visibility)
BM,Judaism,MERGED,B,1474,45180,2007.7,76280.2,0.05688,77.3,1084.8,0.9877,1975.0,32.700000000000045,Helsinki Accords (Eastern Europe visibility)
BP,Islam,MERGED,B,1401,46458,2002.9,63468.1,0.08146,53.9,1292.5,0.9968,1975.0,27.90000000000009,Helsinki Accords (Eastern Europe visibility)
BR,Christianity,MERGED,B,1470,40279,2021.1,91427.7,0.03609,121.8,824.9,0.9935,1975.0,46.09999999999991,Helsinki Accords (Eastern Europe visibility)
BS,Bible,MERGED,B,1400,62192,2035.2,192787.2,0.03592,122.3,1731.5,0.9921,1975.0,60.200000000000045,Helsinki Accords (Eastern Europe visibility)
BT,Doctrinal Theology,MERGED,B,1470,42184,2021.4,96816.3,0.03753,117.1,908.3,0.9933,1975.0,46.40000000000009,Helsinki Accords (Eastern Europe visibility)
BV,Practical Theology,MERGED,B,1470,76914,2038.0,247872.8,0.03428,128.2,2124.2,0.9942,1975.0,63.0,Helsinki Accords (Eastern Europe visibility)
BX,Christian Denominations,MERGED,B,1400,123705,2036.3,373342.8,0.03151,139.5,2941.0,0.9913,1975.0,61.299999999999955,Helsinki Accords (Eastern Europe visibility)
CB,History of Civilization,ABSENT,C,1485,10708,1994.0,13980.6,0.05623,78.1,196.5,0.999,1975.0,19.0,Helsinki Accords (Eastern Europe visibility)
CC,Archaeology,ABSENT,C,1612,4298,2003.8,6130.5,0.07065,62.2,108.3,0.9978,1975.0,28.799999999999955,Helsinki Accords (Eastern Europe visibility)
CD,Diplomatics / Archives,ABSENT,C,1631,10401,1991.1,13096.3,0.06235,70.5,204.2,0.9955,1975.0,16.09999999999991,Helsinki Accords (Eastern Europe visibility)
CE,Chronology,ABSENT,C,1414,986,2050.0,3416.4,0.02654,165.6,22.7,0.9833,1975.0,75.0,Helsinki Accords (Eastern Europe visibility)
CJ,Numismatics,ABSENT,C,1553,6454,1994.8,8873.0,0.05206,84.4,115.5,0.9913,1975.0,19.799999999999955,Helsinki Accords (Eastern Europe visibility)
CN,Inscriptions / Epigraphy,ABSENT,C,1520,1751,2014.1,3448.9,0.0486,90.4,41.9,0.9911,1975.0,39.09999999999991,Helsinki Accords (Eastern Europe visibility)
CR,Heraldry,ABSENT,C,1521,4932,2037.3,15984.2,0.03487,126.0,139.4,0.9898,1975.0,62.299999999999955,Helsinki Accords (Eastern Europe visibility)
CS,Genealogy,ABSENT,C,1565,55337,1992.6,69814.2,0.06639,66.2,1158.8,0.9925,1975.0,17.59999999999991,Helsinki Accords (Eastern Europe visibility)
CT,Biography (General),ABSENT,C,1552,26234,2014.7,52789.2,0.04173,105.3,550.7,0.9957,1975.0,39.700000000000045,Helsinki Accords (Eastern Europe visibility)
D,History (General),MERGED,D,1481,113027,2011.8,214695.0,0.0379,116.0,2034.0,0.9976,1975.0,36.799999999999955,Helsinki Accords (Eastern Europe visibility)
DA,British History,MERGED,D,1503,54783,2049.5,184450.5,0.02379,184.7,1096.8,0.9938,1975.0,74.5,Helsinki Accords (Eastern Europe visibility)
