subclass,label,jefferson_status,group,first_year,total,nonzero_years,inflection_year,growth_rate_k,growth_width_yrs,sigmoid_r2,c_norm_at_t0,nearest_event_yr,nearest_event_dist,nearest_event_desc,reliable
AC,General Collections,RENAMED,A-Class,1527,21246,493,1902.7,0.014187,309.7,0.9592,0.5,1897.0,5.7000000000000455,LCC system created,True
AE,Encyclopedias (General),RENAMED,A-Class,1472,1508,548,1974.3,0.057146,76.9,0.9693,0.5,1975.0,0.7000000000000455,Helsinki Accords (Eastern Europe),True
AG,Dictionaries (General),RENAMED,A-Class,1532,2970,488,1981.3,0.066504,66.1,0.9776,0.5,1975.0,6.2999999999999545,Helsinki Accords (Eastern Europe),True
AI,Indexes,ABSENT,A-Class,1853,247,167,1978.0,0.094535,46.5,0.9832,0.5,1975.0,3.0,Helsinki Accords (Eastern Europe),True
AM,Museums / Exhibitions,ABSENT,A-Class,1678,4538,342,1990.0,0.102318,42.9,0.9945,0.5,1991.0,1.0,Soviet collapse,True
AN,Newspapers,ABSENT,A-Class,1999,2,21,,,,,,,,,False
AS,Academies / Societies,ABSENT,A-Class,1687,15217,333,1970.2,0.086574,50.8,0.9946,0.5,1972.0,1.7999999999999545,Title IX,True
B,Philosophy (General),MERGED,B-Class,1400,111087,576,1988.6,0.08584,51.2,0.9888,0.5,1991.0,2.400000000000091,Soviet collapse,True
BC,Logic,MERGED,B-Class,1476,4386,544,1983.4,0.078842,55.7,0.9929,0.5,1991.0,7.599999999999909,Soviet collapse,True
BD,Speculative Philosophy,MERGED,B-Class,1495,17349,525,1988.6,0.082225,53.4,0.9886,0.5,1991.0,2.400000000000091,Soviet collapse,True
BF,Psychology,ABSENT,B-Class,1474,85825,546,1987.1,0.079134,55.5,0.9879,0.5,1991.0,3.900000000000091,Soviet collapse,True
BH,Aesthetics,MERGED,B-Class,1757,5441,263,1989.6,0.094296,46.6,0.9902,0.5,1991.0,1.400000000000091,Soviet collapse,True
BJ,Ethics,MERGED,B-Class,1474,24126,546,1985.8,0.065643,66.9,0.9715,0.5,1991.0,5.2000000000000455,Soviet collapse,True
BL,Religion / Mythology,MERGED,B-Class,1477,67934,543,1989.4,0.087721,50.1,0.9877,0.5,1991.0,1.599999999999909,Soviet collapse,True
BM,Judaism,MERGED,B-Class,1474,45180,546,1990.8,0.095206,46.2,0.9756,0.5,1991.0,0.20000000000004547,Soviet collapse,True
BP,Islam,MERGED,B-Class,1401,46458,575,1994.9,0.112708,39.0,0.9888,0.5,1991.0,3.900000000000091,Soviet collapse,True
BR,Christianity,MERGED,B-Class,1470,40279,550,1982.9,0.062519,70.3,0.9787,0.5,1975.0,7.900000000000091,Helsinki Accords (Eastern Europe),True
BS,Bible,MERGED,B-Class,1400,62192,576,1986.2,0.068194,64.4,0.974,0.5,1991.0,4.7999999999999545,Soviet collapse,True
BT,Doctrinal Theology,MERGED,B-Class,1470,42184,550,1984.3,0.066067,66.5,0.9784,0.5,1991.0,6.7000000000000455,Soviet collapse,True
BV,Practical Theology,MERGED,B-Class,1470,76914,550,1985.1,0.063419,69.3,0.9757,0.5,1991.0,5.900000000000091,Soviet collapse,True
BX,Christian Denominations,MERGED,B-Class,1400,123705,576,1981.4,0.059652,73.7,0.9738,0.5,1975.0,6.400000000000091,Helsinki Accords (Eastern Europe),True
CB,History of Civilization,ABSENT,C-Class,1485,10708,535,1983.8,0.075045,58.6,0.9935,0.5,1991.0,7.2000000000000455,Soviet collapse,True
CC,Archaeology,ABSENT,C-Class,1612,4298,408,1993.5,0.098216,44.7,0.9897,0.5,1991.0,2.5,Soviet collapse,True
CD,Diplomatics / Archives,ABSENT,C-Class,1631,10401,389,1983.1,0.084941,51.7,0.9893,0.5,1991.0,7.900000000000091,Soviet collapse,True
CE,Chronology,ABSENT,C-Class,1414,986,568,1979.5,0.044824,98.0,0.949,0.5,1975.0,4.5,Helsinki Accords (Eastern Europe),True
CJ,Numismatics,ABSENT,C-Class,1553,6454,467,1982.3,0.076374,57.5,0.9843,0.5,1975.0,7.2999999999999545,Helsinki Accords (Eastern Europe),True
CN,Inscriptions / Epigraphy,ABSENT,C-Class,1520,1751,500,1989.7,0.08428,52.1,0.9776,0.5,1991.0,1.2999999999999545,Soviet collapse,True
