pub_year,A -- General Works,B -- Philosophy / Psychology / Religion,C -- Auxiliary Sciences of History,D -- World History,E -- American History,F -- Local History (Americas),G -- Geography / Anthropology,H -- Social Sciences,J -- Political Science,K -- Law,L -- Education,M -- Music,N -- Fine Arts,P -- Language & Literature,Q -- Science,R -- Medicine,S -- Agriculture,T -- Technology,U -- Military Science,V -- Naval Science,Z -- Bibliography / Library Science
1400,0,18,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0
1401,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
1402,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1403,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1405,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1406,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1408,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1410,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1414,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1450,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1451,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1453,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1454,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1455,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1457,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1463,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1465,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
1467,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1470,0,8,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0
1471,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1472,1,7,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0
1473,0,7,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0
1474,0,10,0,1,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0
1475,0,18,0,0,0,0,0,0,0,11,0,0,0,8,0,1,0,0,0,0,0
1476,0,13,0,0,0,0,0,0,0,10,0,0,0,2,1,0,0,0,0,0,0
1477,0,21,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0
1478,0,12,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0
