lcc_major,label,baconian_division,jefferson_chapters,survivorship,lcc_subclass_count,count_1815,count_2011,growth_factor,inflection_year,sigmoid_r2
P,Language & Literature,Imagination,9.0,MERGED,18,8997,1943580,216.0,,
H,Social Sciences,Reason,0.5,ABSENT,14,1585,1230338,776.2,,
D,World History,Memory,3.0,MERGED,14,5416,871123,160.8,,
B,Philosophy / Psych / Religion,Reason,2.0,MERGED,9,9350,731543,78.2,,
M,Music,Imagination,1.0,DIRECT,4,7345,894966,121.8,,
Q,Science,Reason,6.0,MERGED,9,2884,547925,190.0,,
T,Technology,Reason,1.0,MERGED,11,944,509069,539.3,,
K,Law,Reason,6.0,MERGED,20,9322,580738,62.3,,
N,Fine Arts,Imagination,2.0,MERGED,8,887,381887,430.5,,
L,Education,Reason,0.0,ABSENT,8,1490,273800,183.8,,
R,Medicine,Reason,2.0,MERGED,10,1633,297773,182.3,,
F,Local History (Americas),Memory,0.5,DIRECT,1,1025,240439,234.6,,
G,Geography / Anthropology,Memory,1.0,MERGED,8,1048,252993,241.4,,
J,Political Science,Reason,1.0,MERGED,7,1165,229871,197.3,,
Z,Bibliography,Reason,1.0,DIRECT,4,820,164477,200.6,,
S,Agriculture,Reason,1.0,DIRECT,6,516,140529,272.3,,
E,American History,Memory,1.0,DIRECT,1,2069,124551,60.2,,
C,Aux. Sciences of History,Memory,0.0,ABSENT,8,760,184939,243.3,,
U,Military Science,Reason,0.0,ABSENT,5,577,65139,112.9,,
A,General Works,Reason,1.0,RENAMED,6,5527,48462,8.8,,
V,Naval Science,Reason,0.0,ABSENT,5,149,24155,162.1,,
