pub_year,A -- General Works,B -- Philosophy / Psychology / Religion,C -- Auxiliary Sciences of History,D -- World History,E -- American History,F -- Local History (Americas),G -- Geography / Anthropology,H -- Social Sciences,J -- Political Science,K -- Law,L -- Education,M -- Music,N -- Fine Arts,P -- Language & Literature,Q -- Science,R -- Medicine,S -- Agriculture,T -- Technology,U -- Military Science,V -- Naval Science,Z -- Bibliography / Library Science
1400,0,18,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0
1401,0,19,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,1,0,0
1402,0,20,0,0,0,0,0,1,0,2,2,5,0,0,0,0,0,0,1,0,0
1403,0,21,0,0,0,0,0,1,0,2,2,6,0,0,0,0,0,0,1,0,0
1405,0,21,0,0,0,0,0,1,0,3,2,6,0,0,0,0,0,0,1,0,0
1406,0,21,0,0,0,0,0,1,0,3,2,7,0,0,0,0,0,0,1,0,0
1408,0,21,0,0,0,0,0,1,0,3,2,8,0,0,0,0,0,0,1,0,0
1410,0,22,0,0,0,0,0,1,0,3,2,8,0,0,0,1,0,0,1,0,0
1414,0,22,1,0,0,0,0,1,0,3,2,8,0,0,0,1,0,0,1,0,0
1417,0,22,1,0,0,0,0,1,0,3,2,8,0,0,1,1,0,0,1,0,0
1418,0,23,1,0,0,0,0,1,0,3,2,8,0,0,1,1,0,0,1,0,0
1420,0,24,1,0,0,0,0,1,0,3,2,9,0,0,1,1,0,0,1,0,0
1430,0,24,1,0,0,0,0,1,0,4,2,9,0,0,1,1,0,0,1,0,0
1431,0,24,1,0,0,0,0,1,0,4,2,9,0,0,1,2,0,0,1,0,0
1440,0,24,1,0,0,0,0,1,0,4,2,10,0,0,1,2,0,0,1,0,0
1450,0,24,1,0,0,0,0,1,0,4,2,10,0,1,1,2,0,0,1,0,0
1451,0,25,1,0,0,0,0,1,0,4,2,10,0,1,1,2,0,0,1,0,0
1453,0,25,1,0,0,0,0,1,0,5,2,10,0,1,1,2,0,0,1,0,0
1454,0,26,1,1,0,0,0,1,0,5,2,11,0,1,1,2,0,0,1,0,0
1455,0,28,1,1,0,0,0,1,0,5,2,11,0,1,1,2,0,0,1,0,0
1456,0,28,1,1,0,0,0,1,0,5,2,12,0,1,1,2,0,0,1,0,0
1457,0,28,1,1,0,0,0,1,0,5,2,14,0,1,1,2,0,0,1,0,0
1460,0,28,1,1,0,0,0,1,0,6,2,14,0,1,1,2,0,0,1,0,0
1463,0,28,1,1,0,0,0,1,0,7,2,14,0,1,1,2,0,0,1,0,0
1465,0,28,1,1,0,0,0,1,0,8,2,19,0,1,1,2,0,0,1,0,0
1467,0,28,1,1,0,0,0,1,0,9,2,19,0,1,1,2,0,0,1,0,0
1470,0,36,1,1,0,0,0,1,0,10,4,19,0,3,1,2,0,0,1,0,0
1471,0,40,1,1,0,0,0,1,0,15,4,19,0,3,1,2,0,0,1,0,0
1472,1,47,1,1,0,0,0,1,0,19,4,19,0,6,2,2,0,0,1,0,0
1473,1,54,1,1,0,0,0,1,0,27,4,20,0,7,2,2,0,0,1,0,0
1474,1,64,1,2,0,0,0,1,0,36,4,20,0,10,2,2,0,0,1,0,0
1475,1,82,1,2,0,0,0,1,0,47,4,20,0,18,2,3,0,0,1,0,0
1476,1,95,1,2,0,0,0,1,0,57,4,20,0,20,3,3,0,0,1,0,0
1477,1,116,1,2,0,0,0,1,0,71,4,20,0,20,4,3,0,0,1,0,0
1478,1,128,2,2,0,0,0,1,0,80,4,20,0,21,4,3,0,0,1,0,0
1479,1,131,2,2,0,0,0,1,0,88,4,20,0,23,4,3,0,0,1,0,0
1480,1,143,2,4,0,0,0,1,0,94,5,20,0,24,5,4,0,1,1,0,0
1481,1,162,2,7,0,0,0,1,0,104,5,20,0,29,6,5,0,1,1,0,0
1482,1,175,2,7,0,0,0,1,0,113,6,20,0,33,7,5,0,1,1,0,0
1483,3,189,2,7,0,0,0,1,0,128,8,20,0,36,7,5,0,1,1,0,0
1484,3,197,2,7,0,0,0,1,0,138,8,20,0,36,9,5,0,1,1,0,0
1485,3,215,4,9,0,0,0,1,0,147,10,20,0,40,12,5,0,1,2,0,0
1486,3,224,4,11,0,0,0,1,0,155,13,20,0,46,12,6,0,1,2,0,0
1487,3,237,4,12,0,0,0,1,0,162,14,20,0,50,12,6,0,2,2,0,0
1488,4,244,4,13,0,0,0,1,0,175,14,21,0,59,12,6,0,2,2,0,0
1489,4,257,4,15,0,0,0,1,0,185,14,21,0,64,13,6,0,2,2,0,0
1490,4,269,4,18,0,0,0,1,0,202,16,24,0,72,14,7,0,3,2,0,0
1491,6,280,4,19,0,0,0,1,0,209,17,26,0,78,14,7,0,3,2,0,0
1492,6,293,4,21,0,0,1,1,1,216,17,26,0,80,14,7,0,3,2,0,0
1493,7,312,4,23,0,0,1,1,1,236,19,28,0,86,14,7,0,3,2,0,0
1494,7,328,4,24,0,0,1,1,1,247,21,28,0,92,14,7,0,4,2,0,0
1495,7,354,4,25,0,0,2,1,1,258,23,28,0,98,15,7,0,4,2,0,0
1496,7,369,4,25,0,0,2,1,1,264,24,29,0,102,16,8,0,4,2,0,0
1497,7,391,4,25,0,0,2,1,1,273,24,29,0,109,16,15,0,4,2,0,0
1498,7,402,4,26,0,0,2,1,1,284,25,30,0,117,16,18,0,4,2,0,0
1499,7,421,4,26,0,0,3,1,1,300,27,30,0,127,16,18,0,5,2,1,0
1500,7,445,5,28,0,0,5,2,1,314,30,30,0,135,16,22,0,9,2,1,0
1501,7,455,5,28,0,0,5,2,1,319,32,31,1,143,17,23,0,9,2,1,0
1502,7,461,5,28,0,0,5,2,1,326,32,35,1,148,20,23,0,9,2,1,0
1503,7,464,5,31,1,0,5,2,1,334,33,36,1,156,20,23,0,10,2,1,0
1504,8,467,5,32,2,0,5,2,1,340,35,38,1,157,20,23,0,11,2,1,0
1505,8,473,5,33,2,0,7,2,1,346,38,39,1,160,20,23,0,15,2,1,0
1506,9,477,5,34,2,0,7,2,1,349,40,42,1,163,21,23,0,15,2,1,0
1507,9,480,5,34,5,0,7,2,1,352,40,43,1,167,21,23,0,16,2,1,0
1508,9,484,5,35,6,0,8,2,1,361,41,43,1,172,21,23,0,17,2,1,0
1509,10,488,5,36,6,0,8,2,1,368,41,44,2,180,22,23,0,18,2,1,0
1510,10,494,5,38,6,0,8,2,1,378,42,45,2,183,22,24,0,20,2,1,0
1511,10,496,5,39,6,0,8,2,1,385,47,46,2,187,23,24,0,21,2,1,0
1512,12,499,5,42,6,0,8,2,1,393,47,48,2,190,23,25,0,21,3,1,0
1513,12,504,5,43,6,0,9,3,2,398,48,50,2,194,23,25,0,21,3,1,0
1514,12,509,5,43,6,0,10,3,2,411,49,52,2,200,23,28,0,22,3,1,0
1515,12,517,5,43,6,0,11,3,2,414,53,57,2,202,23,29,0,23,3,1,0
1516,12,527,5,43,6,0,12,4,2,421,55,59,2,210,23,29,0,24,3,1,0
1517,12,530,5,43,6,0,12,5,2,432,55,60,3,215,25,31,0,28,3,1,0
1518,12,538,6,45,6,0,12,5,2,445,55,61,3,225,26,32,0,28,3,1,1
1519,12,552,6,49,6,0,12,6,2,453,57,61,3,231,27,32,0,28,3,1,1
1520,12,591,8,50,6,0,14,6,3,465,61,61,3,232,28,32,0,28,3,1,1
1521,12,618,9,51,7,0,14,6,3,473,62,67,4,239,28,33,0,29,3,1,1
1522,12,644,9,51,8,0,14,7,5,485,63,81,4,246,28,33,0,29,3,1,2
1523,12,682,9,52,8,0,15,7,5,493,64,82,4,250,28,33,0,29,3,1,3
1524,12,699,9,55,8,1,16,9,5,503,65,84,4,253,28,33,0,31,3,1,3
1525,12,713,9,60,8,1,17,9,5,517,65,87,4,254,29,34,0,32,3,1,3
1526,12,723,9,63,8,1,18,9,5,530,67,88,4,254,29,34,0,32,3,1,4
1527,13,735,10,68,8,1,18,9,5,541,67,89,4,259,29,37,0,32,3,1,4
1528,13,750,10,71,8,1,18,9,5,547,67,89,4,262,29,39,0,33,3,1,4
1529,13,755,10,74,8,1,18,11,5,553,69,96,5,267,29,39,0,34,3,1,4
1530,13,763,10,76,9,1,18,12,6,568,70,96,6,273,30,40,0,38,3,1,4
1531,13,774,10,78,9,1,18,14,6,578,71,99,6,280,31,41,0,38,3,1,4
1532,15,786,10,79,10,2,18,14,6,587,71,102,6,285,33,41,0,40,3,1,4
1533,15,799,10,83,11,2,20,14,6,604,72,105,6,292,37,43,0,41,3,1,4
1534,15,809,10,85,12,2,22,14,6,618,73,107,6,302,38,45,0,43,3,1,4
1535,15,815,10,92,12,3,24,14,6,636,74,113,6,306,41,46,0,43,3,1,5
1536,16,826,11,95,12,3,27,14,6,659,74,116,6,317,41,46,1,45,3,1,5
1537,16,837,11,99,12,3,29,14,6,675,74,124,7,326,42,48,1,46,3,2,5
1538,16,854,11,100,12,3,30,14,6,698,75,128,8,337,42,48,2,47,3,2,5
1539,16,874,11,102,12,3,30,14,6,716,79,129,8,346,44,51,2,47,3,2,5
1540,16,881,11,102,12,3,31,15,6,735,80,135,11,359,45,52,2,49,3,2,5
1541,16,892,12,104,12,3,32,16,10,767,80,141,11,369,45,54,2,51,3,2,5
