subclass,label,jefferson_status,group,first_year,total_2011,inflection_year,asymptote_L,growth_rate_k,growth_width_yrs,peak_annual_rate,sigmoid_r2,nearest_event_yr,nearest_event_dist,nearest_event_desc
DJK,Eastern Europe,ABSENT,D-Area,1611,2323,1995.8,2447.2,0.14935,29.4,91.4,0.9993,1975,20.799999999999955,Helsinki Accords (Eastern Europe visibility)
DK,Russia / Soviet States,ABSENT,D-Area,1550,83136,2008.8,143265.6,0.05511,79.7,1973.8,0.9951,1975,33.799999999999955,Helsinki Accords (Eastern Europe visibility)
DS,Asia,ABSENT,D-Area,1454,296741,2001.7,417574.3,0.06792,64.7,7089.9,0.996,1975,26.700000000000045,Helsinki Accords (Eastern Europe visibility)
DT,DT -- Africa [ABSENT],UNKNOWN,OTHER,1586,57565,1998.1,81085.8,0.05332,82.4,1080.9,0.9976,1975,23.09999999999991,Helsinki Accords (Eastern Europe visibility)
E18,African American History,ABSENT,E-Sub,1641,25797,2004.0,40352.6,0.05278,83.3,532.5,0.9969,1975,29.0,Helsinki Accords (Eastern Europe visibility)
E99,Native Americans,ABSENT,E-Sub,1643,10451,1996.1,13497.7,0.06727,65.3,227.0,0.9965,1975,21.09999999999991,Helsinki Accords (Eastern Europe visibility)
HA,Statistics,ABSENT,H-Modern,1600,14766,1985.2,16571.8,0.07379,59.6,305.7,0.9974,1975,10.200000000000045,Helsinki Accords (Eastern Europe visibility)
HB,Economic Theory,ABSENT,H-Modern,1519,64011,1994.9,80766.6,0.06596,66.6,1331.9,0.9976,1975,19.90000000000009,Helsinki Accords (Eastern Europe visibility)
HC,HC -- Economic History [ABSENT],UNKNOWN,OTHER,1581,155017,1991.0,178343.6,0.07994,55.0,3564.3,0.9992,1975,16.0,Helsinki Accords (Eastern Europe visibility)
HD,Land / Agric. Economics,ABSENT,H-Modern,1591,320545,1990.4,364148.1,0.08102,54.2,7375.7,0.9988,1975,15.400000000000091,Helsinki Accords (Eastern Europe visibility)
HE,HE -- Transportation & Communications [ABSENT],UNKNOWN,OTHER,1500,48726,1990.2,61110.8,0.05842,75.2,892.5,0.9964,1975,15.200000000000045,Helsinki Accords (Eastern Europe visibility)
HF,Commerce,MERGED,H-Classic,1524,117626,1995.4,152609.7,0.06352,69.2,2423.5,0.9977,1975,20.40000000000009,Helsinki Accords (Eastern Europe visibility)
HG,HG -- Finance [ABSENT],UNKNOWN,OTHER,1513,85583,1999.6,120556.1,0.06071,72.4,1829.8,0.9962,1975,24.59999999999991,Helsinki Accords (Eastern Europe visibility)
HJ,HJ -- Public Finance [MERGED],UNKNOWN,OTHER,1401,29498,1996.8,42801.8,0.04845,90.7,518.4,0.9947,1975,21.799999999999955,Helsinki Accords (Eastern Europe visibility)
HM,Sociology,ABSENT,H-Modern,1781,37945,2000.9,51488.9,0.06892,63.8,887.2,0.998,1975,25.90000000000009,Helsinki Accords (Eastern Europe visibility)
HN,Social History,ABSENT,H-Modern,1550,53352,1995.5,64574.3,0.07868,55.9,1270.2,0.9986,1975,20.5,Helsinki Accords (Eastern Europe visibility)
HQ,Gender / Sexuality,ABSENT,H-Modern,1522,107068,1997.6,132104.6,0.08378,52.5,2766.9,0.9981,1975,22.59999999999991,Helsinki Accords (Eastern Europe visibility)
HS,HS -- Societies / Clubs [ABSENT],UNKNOWN,OTHER,1742,6384,2050.0,25296.5,0.03047,144.2,192.7,0.9936,1975,75.0,Helsinki Accords (Eastern Europe visibility)
HT,Communities / Race,ABSENT,H-Modern,1600,39829,1992.2,44531.9,0.08765,50.1,975.9,0.9974,1975,17.200000000000045,Helsinki Accords (Eastern Europe visibility)
HV,Social Pathology,ABSENT,H-Modern,1531,133799,2000.4,179637.3,0.0722,60.9,3242.3,0.9975,1975,25.40000000000009,Helsinki Accords (Eastern Europe visibility)
HX,Socialism / Communism,ABSENT,H-Modern,1656,33667,1982.5,36046.3,0.08276,53.1,745.8,0.9968,1975,7.5,Helsinki Accords (Eastern Europe visibility)
PA,Classical Languages,MERGED,P-Western,1450,35919,2050.0,124825.9,0.02594,169.4,809.6,0.9833,1975,75.0,Helsinki Accords (Eastern Europe visibility)
PB,PB -- Celtic Languages [MERGED],UNKNOWN,OTHER,1632,5380,2000.5,8166.1,0.04898,89.7,100.0,0.9953,1975,25.5,Helsinki Accords (Eastern Europe visibility)
PC,PC -- Romanic Languages [MERGED],UNKNOWN,OTHER,1493,45048,1994.8,58749.8,0.06029,72.9,885.5,0.9962,1975,19.799999999999955,Helsinki Accords (Eastern Europe visibility)
PD,PD -- Germanic Languages [MERGED],UNKNOWN,OTHER,1755,3879,1996.8,6051.3,0.03708,118.5,56.1,0.9949,1975,21.799999999999955,Helsinki Accords (Eastern Europe visibility)
PE,English Language,MERGED,P-Western,1568,34036,2031.5,94022.4,0.03377,130.1,793.9,0.9959,1975,56.5,Helsinki Accords (Eastern Europe visibility)
PF,West Germanic,MERGED,P-Western,1528,11043,1993.4,14861.5,0.05298,82.9,196.8,0.9956,1975,18.40000000000009,Helsinki Accords (Eastern Europe visibility)
PG,Slavic Languages & Lit.,ABSENT,P-NonWestern,1653,138932,1997.0,182912.7,0.06547,67.1,2993.9,0.9973,1975,22.0,Helsinki Accords (Eastern Europe visibility)
PH,PH -- Uralic & Basque Languages [ABSENT],UNKNOWN,OTHER,1728,19806,1989.4,21638.6,0.08759,50.2,473.8,0.9973,1975,14.400000000000091,Helsinki Accords (Eastern Europe visibility)
PJ,Oriental Languages,ABSENT,P-NonWestern,1513,51776,2003.4,79786.5,0.05396,81.4,1076.2,0.9974,1975,28.40000000000009,Helsinki Accords (Eastern Europe visibility)
PK,Indo-Iranian Languages,ABSENT,P-NonWestern,1618,99476,1987.9,110214.6,0.07845,56.0,2161.4,0.997,1975,12.900000000000091,Helsinki Accords (Eastern Europe visibility)
PL,E Asian / African Languages,ABSENT,P-NonWestern,1476,181614,1992.6,203087.1,0.09407,46.7,4776.2,0.998,1975,17.59999999999991,Helsinki Accords (Eastern Europe visibility)
PM,Indigenous American Languages,ABSENT,P-NonWestern,1571,5908,2012.0,11462.2,0.04132,106.3,118.4,0.9899,1975,37.0,Helsinki Accords (Eastern Europe visibility)
PN,General Literature,MERGED,P-Western,1521,208351,2008.2,355271.9,0.05063,86.8,4496.5,0.9972,1975,33.200000000000045,Helsinki Accords (Eastern Europe visibility)
PR,English Literature,MERGED,P-Western,1542,183094,2033.6,526014.5,0.03272,134.3,4302.8,0.9936,1975,58.59999999999991,Helsinki Accords (Eastern Europe visibility)
PS,American Literature,MERGED,P-Western,1624,227702,2050.0,1060525.3,0.03756,117.0,9957.6,0.9921,1975,75.0,Helsinki Accords (Eastern Europe visibility)
PT,PT -- Germanic Literature [MERGED],UNKNOWN,OTHER,1497,119724,1990.1,153027.3,0.05303,82.9,2028.7,0.997,1975,15.099999999999909,Helsinki Accords (Eastern Europe visibility)
